MAKE,MODEL,ID,SENS(V/nm/s^2),GUI_HIDE,REMOVED_DATE
Wilcoxon,731A,12455,1.019000e-09,1,0
Wilcoxon,731A,12456,1.019000e-09,1,0
Wilcoxon,731A,12457,1.019000e-09,1,0
PCB,393B31,49144,1.015000e-09,0,0
PCB,393B31,49312,9.930000e-10,0,0
PCB,393B31,50887,1.022000e-09,0,0
PCB,393B31,50983,9.900000e-10,0,0
PCB,393B31,50984,9.810000e-10,1,30/09/2022
PCB,393B31,50985,9.990000e-10,0,0
PCB,393B31,58594,9.840000e-10,0,0
PCB,393B31,58595,9.890000e-10,0,0
PCB,393B31,60354,1.021000e-09,1,0
PCB,393B31,60660,1.014000e-09,1,0
PCB,393B31,60662,1.026000e-09,1,0
PCB,626A34,6168,1.013000e-09,0,0
PCB,626A34,6169,1.017000e-09,0,0
PCB,626A34,6170,1.016000e-09,0,0
PCB,393B31,61708,9.860000e-10,0,0
PCB,393B31,61715,1.002000e-09,1,30/09/2022
PCB,393B31,61716,9.900000e-10,0,0
PCB,393B31,61717,9.960000e-10,0,0
PCB,393B31,64878,1.000000e-09,1,0
PCB,393B31,64879,1.016000e-09,1,0
PCB,393B31,64880,9.980000e-10,1,0
PCB,393B31,64881,9.900000e-10,1,0
PCB,393B31,64882,9.970000e-10,1,0
PCB,393B31,65190,1.014000e-09,1,0
PCB,393B31,67080,1.021000e-09,0,0
PCB,393B31,67081,1.014000e-09,0,0
PCB,393B31,67082,1.026000e-09,0,0
Guralp,CMG-ESPD,CMG-T3E-0038_E,3.200000e-06,0,0
Guralp,CMG-ESPD,CMG-T3E-0038_N,3.200000e-06,0,0
Guralp,CMG-ESPD,CMG-T3E-0038_V,3.100000e-06,0,0
PCB,356B18,LW214478_X,9.830000e-11,0,0
PCB,356B18,LW214478_Y,1.033000e-10,0,0
PCB,356B18,LW214478_Z,1.031000e-10,0,0
Unity sensor (for tests only),n/a,unity,1.000000e+00,0,0
Velocity sensor,directly converted in nm/s,velo,1.000000e-09,0,0
